Job-Type,Comany,Location,Duration (Months),Stripend (monthly),Incentives,Apply-By,Part-Time,Start
Business Development (Sales),Decathlon Sports India,Bangalore,2,10000,,9 Aug' 21,Yes,Immediately
Business Development (Sales),Decathlon Sports India,Thane,2,10000,,9 Aug' 21,Yes,Immediately
Business Development (Sales),Decathlon Sports India,Thane,2,10000,,7 Aug' 21,Yes,Immediately
Operations,BoAt (Imagine Marketing Private Limited),Delhi,6,15000,,9 Aug' 21,,Immediately
Business Development (Sales),BoAt (Imagine Marketing Private Limited),Delhi,6,15000,,9 Aug' 21,,Immediately
Content Writing,BoAt (Imagine Marketing Private Limited),Delhi,6,15000,,9 Aug' 21,,Immediately
Digital Marketing,Azim Premji Foundation,Bangalore,6,12000,,9 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,ManipalUdupi,1,15000,,7 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,Puttur,1,15000,,7 Aug' 21,,Immediately
Business Development (Sales),Decathlon Sport India Private Limited,Noida,6,10000-13000,,28 Aug' 21,Yes,Immediately
Volunteering,Teach For India,Work From Home,2,Unpaid,,7 Aug' 21,Yes,Immediately
Marketing,BYJU'S The Learning App,Pune,3,15000-18000,,7 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,KolkataHowrah,2,15000,,6 Aug' 21,,Immediately
Social Media Marketing,Bagzone Lifestyles Private Limited,Mumbai,6,10000,,6 Aug' 21,,Immediately
Graphic Design,Bagzone Lifestyles Private Limited,Mumbai,6,10000,,6 Aug' 21,,Immediately
Business Development (Sales),Decathlon Sport India Private Limited,Chennai,2,10000,,5 Aug' 21,Yes,Immediately
Teaching (English),Career Launcher,Ghaziabad,6,10000,,6 Aug' 21,,Immediately
Human Resources (HR),Justdial Limited,Bangalore,3,5000,,6 Aug' 21,,Immediately
Operations,Dunzo,Pune,6,15000,,6 Aug' 21,,Immediately
Visual Design,Internshala,Gurgaon,6,20000,,5 Aug' 21,,Immediately
Business Development (Sales),WWF India,Work From Home,2,Unpaid,,10 Aug' 21,Yes,Immediately
Software Testing,CBRE South Asia Private Limited,Work From Home,6,15000,,11 Aug' 21,,Immediately
Business Development (Sales),Century Plyboards (India) Limited,Anand,6,15000-25000,,11 Aug' 21,,Immediately
Human Resources (HR),V-Mart Retail Limited,Gurgaon,3,7000-10000,,10 Aug' 21,,Immediately
Video Making/Editing,Times Network,DelhiMumbai,4,5000,,10 Aug' 21,,Immediately
Software Engineering (Java),CBRE South Asia Private Limited,Work From Home,6,15000,,10 Aug' 21,,Immediately
Social Media Marketing,Zivame,Work From Home,3,10000-15000,,10 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,DelhiGurgaon,2,15000,,10 Aug' 21,,Immediately
UX/UI Design,Hungama Digital Media Entertainment Private Limited,Work From Home,3,5000-10000,,10 Aug' 21,,Immediately
Social Media Marketing,IndiaMART InterMESH Limited,Work From Home,3,10000,,10 Aug' 21,,Immediately
Infrastructure Support,Edelweiss Financial Services,Work From Home,6,12000,,10 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,Hyderabad,3,18000,,10 Aug' 21,,Immediately
Social Media Marketing,Nykaa,Work From Home,3,5000,,10 Aug' 21,,Immediately
Business Development (Sales),Freecharge Payments Technology Private Limited,DelhiGurgaonPuneBangaloreHyderabadMumbaiNoida,3,10000,,10 Aug' 21,,Immediately
Business Development (Sales),Delhivery Private Limited,Ahmedabad,2,12000,,10 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,HyderabadNagarkurnool,1,18000,,10 Aug' 21,,Immediately
Delegate Acquisition,Times Internet,Work From Home,6,7000,,10 Aug' 21,,Immediately
Subject Matter Expert (SME),ByteDance,Work From Home,6,25000,,9 Aug' 21,,Immediately
Human Resources (HR),Biryani By Kilo (BBK),Gurgaon,3,7000,,9 Aug' 21,,Immediately
Human Resources (HR),Cipla Health Limited,Work From Home,6,15000,,9 Aug' 21,,Immediately
Business Development (Sales),Decathlon Sports India,Bangalore,2,10000,,9 Aug' 21,Yes,Immediately
Business Development (Sales),Decathlon Sports India,Thane,2,10000,,9 Aug' 21,Yes,Immediately
Business Development (Sales),Decathlon Sports India,Thane,2,10000,,7 Aug' 21,Yes,Immediately
Operations,BoAt (Imagine Marketing Private Limited),Delhi,6,15000,,9 Aug' 21,,Immediately
Business Development (Sales),BoAt (Imagine Marketing Private Limited),Delhi,6,15000,,9 Aug' 21,,Immediately
Content Writing,BoAt (Imagine Marketing Private Limited),Delhi,6,15000,,9 Aug' 21,,Immediately
Digital Marketing,Azim Premji Foundation,Bangalore,6,12000,,9 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,ManipalUdupi,1,15000,,7 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,Puttur,1,15000,,7 Aug' 21,,Immediately
Business Development (Sales),Decathlon Sport India Private Limited,Noida,6,10000-13000,,28 Aug' 21,Yes,Immediately
Volunteering,Teach For India,Work From Home,2,Unpaid,,7 Aug' 21,Yes,Immediately
Marketing,BYJU'S The Learning App,Pune,3,15000-18000,,7 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,KolkataHowrah,2,15000,,6 Aug' 21,,Immediately
Social Media Marketing,Bagzone Lifestyles Private Limited,Mumbai,6,10000,,6 Aug' 21,,Immediately
Graphic Design,Bagzone Lifestyles Private Limited,Mumbai,6,10000,,6 Aug' 21,,Immediately
Business Development (Sales),Decathlon Sport India Private Limited,Chennai,2,10000,,5 Aug' 21,Yes,Immediately
Teaching (English),Career Launcher,Ghaziabad,6,10000,,6 Aug' 21,,Immediately
Human Resources (HR),Justdial Limited,Bangalore,3,5000,,6 Aug' 21,,Immediately
Operations,Dunzo,Pune,6,15000,,6 Aug' 21,,Immediately
Motion Graphic Design,9X Media Private Limited,Mumbai,3,5000,,6 Aug' 21,,Immediately
Marketing,Think & Learn Private Limited (BYJU'S),Surat,2,18000,,6 Aug' 21,,Immediately
Business Development (Sales),Decathlon Sports India,Chennai,2,5000-8000,,5 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,AnantapurTirupatiChitoor,3,18000,,5 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,MaduraiSivagangaTheni,2,18000,,5 Aug' 21,,Immediately
Operations (Buying & Merchandising),Bewakoof,Mumbai,6,8000-10000,,5 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,RourkelaSundergarh,3,18000,,5 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,UlhasnagarNavi MumbaiDombivliKalyanMumbaiBadlapurBhiwandiAmbernathRaigadThane,3,20000,,5 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,Indore,3,18000,,5 Aug' 21,,Immediately
Business Management,Decathlon Sports India Private Limited,Delhi,3,10000,,5 Aug' 21,Yes,Immediately
Operations,UrbanClap,Hyderabad,3,8000-10000,,5 Aug' 21,,Immediately
Graphic Design,Times Internet,Work From Home,6,6000,,5 Aug' 21,,Immediately
Content Writing,Archies Lifestyle,Delhi,6,10000-15000,,5 Aug' 21,,Immediately
Business Development (Sales),UrbanClap,Delhi,3,10000,,5 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,Kurnool,3,18000,,5 Aug' 21,,Immediately
Volunteering,Teach For India,Delhi,2,Unpaid,,5 Aug' 21,Yes,Immediately
Business Development (Sales),Delhivery,KollamKozhikodeThiruvananthapuramThrissurKanyakumariMalappuramAlappuzhaKochiAluvaErnakulamChalakudyPalakkadKannur,2,10000,,4 Aug' 21,,Immediately
Business Development (Sales),Decathlon Sports India,Jaipur,2,10000,,4 Aug' 21,Yes,Immediately
Human Resources (HR),Bewakoof,Work From Home,3,7000,,3 Aug' 21,,Immediately
Social Work,Smile Foundation,ChennaiDelhiGurgaonBangalore,1,Unpaid,,3 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,Chennai,2,16000,,3 Aug' 21,,Immediately
Business Development (Sales),Delhivery Private Limited,Mumbai,2,12000,,3 Aug' 21,,Immediately
Social Initiatives,BYJU'S The Learning App,Bangalore,3,10000,,3 Aug' 21,,Immediately
Business Development (Sales),Economic Times Edge,Mumbai,3,5000,,3 Aug' 21,,Immediately
Human Resources (HR),HCL Technologies,Work From Home,3,3500,,3 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,Sundergarh,3,18000,,3 Aug' 21,,Immediately
Employee Engagement (HR),BookMyShow,Mumbai,6,5000,,3 Aug' 21,,Immediately
Marketing,Think & Learn Private Limited (BYJU'S),Rourkela,3,18000,,2 Aug' 21,,Immediately
Volunteering,Teach For India,Work From Home,3,Unpaid,,2 Aug' 21,Yes,Immediately
Marketing,BYJU'S The Learning App,Guntur,3,18000,,2 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,Vijayawada,3,18000,,2 Aug' 21,,Immediately
Human Resources (HR),House Of Anita Dongre,Work From Home,6,8000-10000,,2 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,Gwalior,2,15000,,2 Aug' 21,,Immediately
Social Media Marketing,Times Internet,Work From Home,6,6000,,2 Aug' 21,,Immediately
Crowdfunding Ambassador - July Volunteer Drive (Openings: 250),Akshaya Patra Foundation,Work From Home,3,Unpaid,,2 Aug' 21,Yes,Immediately
Marketing,BYJU'S The Learning App,IdukkiErnakulam,2,18000,,1 Aug' 21,,Immediately
Search Engine Optimization (SEO),Fashion TV,Mumbai,3,2500-5000,,1 Aug' 21,,Immediately
Digital Marketing,Fashion TV,Mumbai,3,2500-5000,,1 Aug' 21,,Immediately
Mobile App Development,IIT Bombay,Work From Home,6,2000-4000,,1 Aug' 21,,Immediately
Graphic Design,Rajshri Entertainment Private Limited,Mumbai,3,8000-10000,,30 Jul' 21,,Immediately
Influencer Marketing,BoAt (Imagine Marketing Private Limited),Delhi,6,15000,,31 Jul' 21,,Immediately
Client Servicing,Delhivery Private Limited,Gurgaon,3,12000,,31 Jul' 21,,Immediately
Marketing,BYJU'S The Learning App,Kolkata,2,18000,,31 Jul' 21,,Immediately
Retail Sales (Sports Retail),Decathlon Sports India,SiliguriDarjeelingJalpaiguri,2,8000-10000,,31 Jul' 21,Yes,Immediately
Social Media Marketing,Economic Times Edge,Mumbai,4,5000,,30 Jul' 21,,Immediately
Online Fundraising,CRY - Child Rights And You,Work From Home,1,Unpaid,,30 Jul' 21,Yes,Immediately
Backend Development,IIT Bombay,Work From Home,6,2000,,30 Jul' 21,,Immediately
Sound Engineering/Design (Telugu),Pocket FM,Work From Home,6,10000,,30 Jul' 21,,Immediately
Human Resources (HR),Matrimony Limited,Chennai,1,10000,,29 Jul' 21,,Immediately
Database Building/Management,Economic Times Edge,Work From Home,4,5000,,29 Jul' 21,,Immediately
Project Management,V-Mart Retail Limited,Gurgaon,3,10000-15000,,29 Jul' 21,,Immediately
Business Development (Sales),Decathlon Sports India Private Limited,Chennai,3,5000,,29 Jul' 21,Yes,Immediately
Human Resources (HR),HCL Technologies,Work From Home,3,3500,,29 Jul' 21,,Immediately
UI/UX Design,Kotak Mahindra Bank,Work From Home,6,10000,,29 Jul' 21,,Immediately
Store Fashion Consultant,Reliance Brands Limited,Chandigarh,6,12000,,29 Jul' 21,,Immediately
Store Fashion Consultant,Reliance Brands Limited,Noida,6,12000,,29 Jul' 21,,Immediately
Store Fashion Consultant,Reliance Brands Limited,Bangalore,6,12000,,29 Jul' 21,,Immediately
Store Fashion Consultant,Reliance Brands Limited,Surat,6,12000,,29 Jul' 21,,Immediately
Content Writing,Times Internet,Work From Home,6,10000,,7 Aug' 21,,Immediately
Volunteering,Teach For India,Work From Home,2,Unpaid,,31 Jul' 21,Yes,Immediately
Marketing,BYJU'S The Learning App,Lucknow,3,12000-15000,,16 Aug' 21,,Immediately
Marketing,BYJU'S The Learning App,Silchar,2,18000,,4 Aug' 21,,1 Aug - 7 Aug' 21
Marketing,BYJU'S The Learning App,AgartalaBongaigaonLakhimpur,2,18000,,3 Aug' 21,,1 Aug - 31 Aug' 21
Assistant Director (Video Production),Viacom India LLP,Gurgaon,6,3000-5000,,30 Jul' 21,,Immediately
Photographer & Videographer,Viacom India LLP,GurgaonDelhi,6,3000-7000,,30 Jul' 21,,Immediately
Search Engine Optimization (SEO),Viacom India LLP,DelhiGurgaon,2,3000-5000,,30 Jul' 21,,Immediately
Marketing,Viacom India LLP,Gurgaon,6,3000-6000,,30 Jul' 21,,Immediately
Product Management,Upraised,Work From Home,2,15000,,11 Aug' 21,,Immediately
Human Resources (HR),GlobalShala,Work From Home,2,8000-12000,,11 Aug' 21,,Immediately
Web Development,The Inked Store,Work From Home,1,,,11 Aug' 21,Yes,Immediately
Academic Content Development (Commerce),Revisor,Work From Home,3,3000,Yes,11 Aug' 21,,Immediately
Lead Generation,Prerna Foundation,Work From Home,6,Unpaid,,11 Aug' 21,Yes,Immediately
Social Media Marketing,Yellow Wire Consulting,Work From Home,2,5000,,11 Aug' 21,,Immediately
Search Engine Optimization (SEO),Out Of The Box Solutions,Work From Home,2,2000,,11 Aug' 21,Yes,Immediately
Product Cataloging,Activa Generics Private Limited,Delhi,2,10000,,11 Aug' 21,,Immediately
Law/Legal,ASDM LEGAL,Work From Home,1,500-1000,,11 Aug' 21,Yes,Immediately
Finance,Yantraksh Logistics Private Limited,Work From Home,3,10000,,11 Aug' 21,,Immediately
Business Development (Sales),Hannmar Lifestyle,Work From Home,2,6000-8000,,11 Aug' 21,,Immediately
Customer Acquisition,AdmitKard,Noida,3,12000,,11 Aug' 21,,Immediately
Android App Development,Postvila,Work From Home,2,2000,Yes,11 Aug' 21,,Immediately
Teaching (SAT),Triluxo Technologies Private Limited,Work From Home,3,1000,,11 Aug' 21,,Immediately
Social Media Marketing,Anti Corona Task Force,Work From Home,3,Unpaid,,11 Aug' 21,Yes,Immediately
AWS Cloud Management,KUKbit Software Lab,Pune,1,17000,,11 Aug' 21,Yes,Immediately
Operations,Life Express Healthcare,Delhi,6,12000-15000,,11 Aug' 21,,Immediately
Content Writing,Know Your Food,Work From Home,2,7000,,11 Aug' 21,,Immediately
Computer Vision (Data Science),Sporty Guru,Work From Home,2,5000-10000,,11 Aug' 21,,Immediately
Operations,Eduprogress & Research Private Limited,Ahmedabad,3,3000,,11 Aug' 21,,Immediately
Human Resources (HR),XcitEducation Foundations,Work From Home,3,Unpaid,,11 Aug' 21,,Immediately
Marketing,Athical Private Limited,Work From Home,2,2500,Yes,11 Aug' 21,Yes,Immediately
ReactJS Frontend Development,VCBay,Work From Home,3,5000,,11 Aug' 21,,Immediately
Graphic Design,Ideamagix,Thane,6,6000,,11 Aug' 21,,Immediately
Business Development (Sales),CRAFT - Careers Over Coffee,Work From Home,3,5000,Yes,11 Aug' 21,,Immediately
Product Management,Upraised,Work From Home,2,15000,,11 Aug' 21,,Immediately
Human Resources (HR),GlobalShala,Work From Home,2,8000-12000,,11 Aug' 21,,Immediately
Web Development,The Inked Store,Work From Home,1,,,11 Aug' 21,Yes,Immediately
Academic Content Development (Commerce),Revisor,Work From Home,3,3000,Yes,11 Aug' 21,,Immediately
Lead Generation,Prerna Foundation,Work From Home,6,Unpaid,,11 Aug' 21,Yes,Immediately
Social Media Marketing,Yellow Wire Consulting,Work From Home,2,5000,,11 Aug' 21,,Immediately
Search Engine Optimization (SEO),Out Of The Box Solutions,Work From Home,2,2000,,11 Aug' 21,Yes,Immediately
Product Cataloging,Activa Generics Private Limited,Delhi,2,10000,,11 Aug' 21,,Immediately
Law/Legal,ASDM LEGAL,Work From Home,1,500-1000,,11 Aug' 21,Yes,Immediately
Finance,Yantraksh Logistics Private Limited,Work From Home,3,10000,,11 Aug' 21,,Immediately
Business Development (Sales),Hannmar Lifestyle,Work From Home,2,6000-8000,,11 Aug' 21,,Immediately
Customer Acquisition,AdmitKard,Noida,3,12000,,11 Aug' 21,,Immediately
Android App Development,Postvila,Work From Home,2,2000,Yes,11 Aug' 21,,Immediately
Content Writing (Video Script),Pledge A Smile Foundation,Work From Home,3,5000-7500,,11 Aug' 21,,Immediately
Business Development (Sales),Kashyaps HR And Payroll Solutions,Work From Home,2,1000-2000,,11 Aug' 21,,Immediately
Business Development (Sales),Edupme,AhmedabadGandhinagar,1,4000-8000,,11 Aug' 21,,Immediately
Backend Development,FinsQ Professional Private Limited,Work From Home,6,10000-12000,,11 Aug' 21,,Immediately
Business Development (Sales),AquGen Technologies Private Limited,GurgaonMumbai,6,5000,,11 Aug' 21,,Immediately
Finance,Lybrate,Faridabad,6,8000,,11 Aug' 21,,Immediately
Marketing,Life Express Healthcare,Delhi,3,12000,Yes,11 Aug' 21,Yes,Immediately
Social Media Marketing,The Smart Sync,Work From Home,1,3000,,11 Aug' 21,,Immediately
UI/UX Design,Aodh Intelligence Private Limited,Work From Home,3,6000,,11 Aug' 21,,Immediately
Social Media Marketing,9I Digital Services LLP,Work From Home,6,4500-6500,,11 Aug' 21,,Immediately
Video Making/Editing,S M Euphony,Mumbai,3,5000-10000,,11 Aug' 21,,Immediately
Mobile App Development,Ideamagix,Thane,6,6000,,11 Aug' 21,,Immediately
Business Development (Sales),AquGen Technologies Private Limited,GurgaonMumbai,6,5000,,11 Aug' 21,,Immediately
Human Resources (HR),Hiring Eye,Work From Home,4,2000,,11 Aug' 21,,Immediately
Human Resources (HR),Eduroutes,Mohali,3,3000-7500,,11 Aug' 21,,Immediately
Social Media Marketing,9I Digital Services LLP,Work From Home,6,4500-6500,,11 Aug' 21,,Immediately
Video Making/Editing,S M Euphony,Mumbai,3,5000-10000,,11 Aug' 21,,Immediately
Mobile App Development,Ideamagix,Thane,6,6000,,11 Aug' 21,,Immediately
Business Development (Sales),AquGen Technologies Private Limited,GurgaonMumbai,6,5000,,11 Aug' 21,,Immediately
Human Resources (HR),Hiring Eye,Work From Home,4,2000,,11 Aug' 21,,Immediately
Human Resources (HR),Eduroutes,Mohali,3,3000-7500,,11 Aug' 21,,Immediately
Blockchain Development,Minddeft Technologies Private Limited,Ahmedabad,6,5000-10000,,11 Aug' 21,,Immediately
Digital Marketing (SEO),Troopr,Work From Home,6,15000,,11 Aug' 21,,Immediately
Facebook Management,Care Well India Trust,Work From Home,3,Unpaid,,11 Aug' 21,Yes,Immediately
Web Development,VAPPR TECHHUB LLP,Work From Home,4,5000,,11 Aug' 21,,Immediately
Civil Engineering,Ink Dabba,Chennai,6,3000-5000,,11 Aug' 21,,Immediately
Human Resources (HR),Vistaar Financial Services Private Limited,Bangalore,6,8000,,11 Aug' 21,,Immediately
Trading (Stock Market),Aarnav Softech,Mumbai,6,10000-20000,,11 Aug' 21,,Immediately
Subject Matter Expert (Mechanical Engineering),Innovalance Learning Systems,Work From Home,3,8000,,11 Aug' 21,,Immediately
Python Development,Resolute AI Software,Work From Home,3,8000-12000,,11 Aug' 21,Yes,Immediately
Social Media Marketing,Out Of The Box Solutions,Work From Home,2,2000,,11 Aug' 21,Yes,Immediately
Installation & Commissioning,EV-Urjaa,Indore,6,3000-8000,,11 Aug' 21,,Immediately
Graphic Design,Sharp Web Studio,ZirakpurPanchkulaChandigarh,3,5200,,11 Aug' 21,,Immediately
Software Testing Engineering,Aodh Intelligence Private Limited,Work From Home,4,6000,,11 Aug' 21,,Immediately
Technical Content Writing,Yurray Global,Work From Home,1,5000,,11 Aug' 21,,Immediately
Visual Merchandise Management,Lagorii,Bangalore,2,10000-15000,,11 Aug' 21,Yes,Immediately
Graphic Design,Food Therapy Private Limited,Work From Home,2,5000,,11 Aug' 21,,Immediately
Front End Development,Society For Health And Medical Technology,Work From Home,6,Unpaid,,11 Aug' 21,Yes,Immediately
Social Media Marketing,InteliGenes Technologies,Work From Home,3,1000,,11 Aug' 21,Yes,Immediately
Software Testing & Excel Data Manipulation,EzyHelper India,Work From Home,3,1000,Yes,11 Aug' 21,Yes,Immediately
Search Engine Optimization (SEO),Colandian,Bangalore,3,5000,,11 Aug' 21,,Immediately
Operations,I8Labs,Work From Home,2,2500,,11 Aug' 21,,Immediately
Artificial Intelligence (AI),Society For Health And Medical Technology,Work From Home,6,Unpaid,,11 Aug' 21,Yes,Immediately
Business Development (Sales),Elite Techno Groups,Work From Home,4,8000-10000,,11 Aug' 21,Yes,Immediately
Marketing,Facts N Fiction Creative Studio,Gurgaon,5,3000-5000,,11 Aug' 21,,Immediately
Campaign Management,BPRISE Private Limited,Mumbai,3,8000,,11 Aug' 21,,Immediately
Event Planning,Facts N Fiction Creative Studio,Gurgaon,6,12000-18000,,11 Aug' 21,,Immediately
Content Writing,Hotel Dekho.com Private Limited,Work From Home,3,5000,,11 Aug' 21,,Immediately
Marketing,ONergy,Kolkata,6,8000,,11 Aug' 21,,Immediately
Human Resources (HR),Workolution,Work From Home,3,5000,,11 Aug' 21,,Immediately
Electronic Engineering (Smart Wearable Device),199 Developments Private Limited,Ahmedabad,3,6000-8000,,11 Aug' 21,,Immediately
Social Media Marketing,Anar,Work From Home,1,1000,,11 Aug' 21,,Immediately
Digital Marketing,Colandian,Work From Home,3,5000,,11 Aug' 21,,Immediately
Chatbot Development (Botpress),Minds2mentor Technology Private Limited,Work From Home,1,,,11 Aug' 21,,Immediately
Mobile App Development,Elecbits Technologies Private Limited,FaridabadDelhiGurgaon,6,8000-14000,,11 Aug' 21,,Immediately
Electronic Engineering (Smart Wearable Device),199 Developments Private Limited,Ahmedabad,3,6000-8000,,11 Aug' 21,,Immediately
Social Media Marketing,Anar,Work From Home,1,1000,,11 Aug' 21,,Immediately
Digital Marketing,Colandian,Work From Home,3,5000,,11 Aug' 21,,Immediately
Chatbot Development (Botpress),Minds2mentor Technology Private Limited,Work From Home,1,,,11 Aug' 21,,Immediately
Mobile App Development,Elecbits Technologies Private Limited,FaridabadDelhiGurgaon,6,8000-14000,,11 Aug' 21,,Immediately
Social Media Influencing,Tjori,Delhi,3,5000,,11 Aug' 21,,Immediately
Web Development,Vritrahan Technology,Work From Home,2,5000-10000,,11 Aug' 21,Yes,Immediately
Web Development,Universal Adventures,Work From Home,3,1000,,11 Aug' 21,Yes,Immediately
Data Extraction,Society For Health And Medical Technology,Work From Home,5,Unpaid,,11 Aug' 21,Yes,Immediately
Business Development (Sales),Finstreet,Work From Home,1,5000-6000,,11 Aug' 21,Yes,Immediately
Content Writing,Saujil Global,Noida,2,9000-12000,,11 Aug' 21,,Immediately
React & Redux Development,Society For Health And Medical Technology,Work From Home,6,Unpaid,,11 Aug' 21,Yes,Immediately
Style/Costume Design,Idiotic Media,Gurgaon,3,5000,,11 Aug' 21,,Immediately
Video Making/Editing,Society For Health And Medical Technology,Work From Home,6,Unpaid,,11 Aug' 21,Yes,Immediately
Graphic Design,GrowByMargin,Work From Home,2,3500-8000,,11 Aug' 21,,Immediately
Communications And Outreach Manager,Healing Dove Foundation,Work From Home,3,Unpaid,,11 Aug' 21,Yes,Immediately
Marketing,KnowHassles Edapt Private Limited,Work From Home,2,3000,Yes,11 Aug' 21,Yes,Immediately
Instagram Management (Reels/Posts),Savvy Fernweh,Work From Home,1,1000,Yes,11 Aug' 21,Yes,Immediately
Digital Marketing,Jana Vaidya,Work From Home,1,3000-5000,,11 Aug' 21,Yes,Immediately
Game Development,F2 Play Games Private Limited,Work From Home,5,5000-6000,,11 Aug' 21,,Immediately
Business Development (Sales),Financial Yaari,Work From Home,2,15000,,11 Aug' 21,,Immediately
Mobile App Development,199 Developments Private Limited,Ahmedabad,3,6000-10000,,11 Aug' 21,,Immediately
Business Development (Sales),The Infused Kettle,Delhi,6,10000,Yes,11 Aug' 21,,Immediately
Video Making/Editing,CameraBoyz,Work From Home,2,1500,,11 Aug' 21,,Immediately
Chatbot Development,Society For Health And Medical Technology,Work From Home,6,Unpaid,,11 Aug' 21,Yes,Immediately
Graphic Design,Wow Foods,Work From Home,3,6000,,11 Aug' 21,,Immediately
Node.js Development,OyeLabs,Work From Home,6,5000-10000,,11 Aug' 21,,Immediately
Whiteboard Video Creation,Eyaksh Technologies,Work From Home,1,5000,,11 Aug' 21,Yes,Immediately
Social Media Marketing,Yurray Global,Work From Home,1,5000,,11 Aug' 21,,Immediately
Marketing,Team Computers Private Limited,DelhiGurgaonNoida,6,10000-15000,,11 Aug' 21,,Immediately
Embedded Systems Engineering,Earth Energy,MumbaiVasai,3,7500,,11 Aug' 21,,Immediately
Data Science,Society For Health And Medical Technology,Work From Home,6,Unpaid,,11 Aug' 21,Yes,Immediately
Fundraising,Healing Dove Foundation,Work From Home,3,Unpaid,,11 Aug' 21,Yes,Immediately
Child Psychology,CogniAble,DelhiGurgaon,6,10000,,11 Aug' 21,,Immediately
Campus Ambassador,FliqaIndia Private Limited,Work From Home,3,,,11 Aug' 21,Yes,Immediately
Front End Web Development,Across The Globe (ATG),Work From Home,6,2500,Yes,11 Aug' 21,Yes,Immediately
Teaching (Coding),StudAnt.in,Work From Home,6,5000,,11 Aug' 21,,Immediately
Content & E-Commerce Management,Rohit Pawar,Mumbai,3,5000,,11 Aug' 21,,Immediately
Human Resources (HR),Cdial,Work From Home,6,1000,Yes,11 Aug' 21,Yes,Immediately
Python Development,Finnovus Technologies Private Limited (CreditSiddhi),Work From Home,6,10000-15000,,11 Aug' 21,,Immediately
Fundraising,Healing Dove Foundation,Work From Home,3,Unpaid,,11 Aug' 21,Yes,Immediately
Child Psychology,CogniAble,DelhiGurgaon,6,10000,,11 Aug' 21,,Immediately
Campus Ambassador,FliqaIndia Private Limited,Work From Home,3,,,11 Aug' 21,Yes,Immediately
Front End Web Development,Across The Globe (ATG),Work From Home,6,2500,Yes,11 Aug' 21,Yes,Immediately
Teaching (Coding),StudAnt.in,Work From Home,6,5000,,11 Aug' 21,,Immediately
Content & E-Commerce Management,Rohit Pawar,Mumbai,3,5000,,11 Aug' 21,,Immediately
